x,y,best_gid,mse
1,11,35,357.89
2,11,283,447.72
3,11,259,484.03
4,11,110,171.29
5,11,259,537.77
6,11,259,502.28
7,11,7,298.21
8,11,5,150.11
9,11,130,2596.74
10,11,208,288.67
11,11,128,287.93
12,11,129,2365.71
13,11,51,4580.84
14,11,77,9.14
58,11,283,0.0
59,11,283,23.66
0,12,77,5.36
1,12,52,33.34
2,12,52,24.88
3,12,53,69.58
4,12,53,62.9
5,12,283,112.9
6,12,260,409.78
7,12,7,252.47
8,12,33,352.56
9,12,3,107.22
10,12,5,150.11
11,12,85,1560.32
12,12,259,1713.45
13,12,51,3183.94
14,12,105,256.47
58,12,283,0.0
59,12,283,92.82
0,13,77,21.46
1,13,77,0.0
2,13,53,54.19
3,13,77,23.6
4,13,54,83.21
5,13,53,61.42
6,13,80,338.52
7,13,35,357.89
8,13,33,689.9
9,13,32,518.36
10,13,7,160.83
11,13,3,48.25
12,13,5,594.23
13,13,3,584.6
14,13,5,85.78
58,13,283,12.84
59,13,283,61.64
0,14,77,0.0
1,14,77,0.0
2,14,77,5.36
3,14,52,33.34
4,14,52,24.88
5,14,53,69.58
6,14,53,62.9
7,14,283,112.9
8,14,105,484.33
9,14,10,818.48
10,14,7,811.75
11,14,8,402.58
12,14,27,1005.13
13,14,33,727.66
14,14,8,252.47
54,14,283,0.0
55,14,283,0.0
56,14,283,0.0
57,14,283,3.28
58,14,283,70.23
59,14,53,68.39
0,15,77,0.0
1,15,77,0.0
2,15,77,21.46
3,15,77,0.0
4,15,53,54.19
5,15,77,23.6
6,15,54,83.21
7,15,53,61.42
8,15,52,67.75
9,15,283,346.48
10,15,57,547.51
11,15,35,415.01
12,15,110,232.04
13,15,259,485.27
14,15,259,502.28
54,15,283,0.0
55,15,283,0.0
56,15,283,0.0
57,15,233,173.28
58,15,52,51.07
59,15,52,28.58
0,16,283,195.46
1,16,255,350.56
2,16,283,202.4
3,16,255,322.23
4,16,283,235.19
5,16,260,339.11
6,16,283,195.46
7,16,255,350.56
8,16,283,202.4
9,16,255,322.23
10,16,283,235.19
11,16,260,339.11
12,16,283,195.46
13,16,255,350.56
14,16,283,208.38
54,16,259,91.03
55,16,283,38.98
56,16,105,320.58
57,16,7,1102.79
58,16,35,230.18
59,16,77,7.33
0,17,233,524.82
1,17,35,255.26
56,17,80,778.71
57,17,35,387.9
58,17,110,171.5
0,18,259,1048.25
1,18,130,1377.84
52,18,105,292.01
53,18,181,2701.88
54,18,185,2428.16
55,18,7,1757.28
56,18,8,1520.01
57,18,151,4543.68
58,18,82,464.19
52,19,7,1017.92
53,19,126,1619.64
54,19,126,1567.92
55,19,1,150.11
56,19,3,69.69
57,19,8,376.78
58,19,77,37.83
52,20,259,835.57
53,20,7,252.47
54,20,7,457.19
55,20,7,416.17
56,20,108,580.4
57,20,35,160.18
58,20,53,74.0
52,21,259,388.44
53,21,35,357.89
54,21,283,447.72
55,21,35,374.77
56,21,77,70.77
57,21,53,66.11
58,21,52,38.78
59,21,77,5.16
52,22,256,369.74
53,22,285,243.17
54,22,53,62.9
55,22,54,112.35
56,22,52,21.99
57,22,77,15.54
58,22,77,11.07
59,22,77,6.65
56,23,77,28.65
57,23,52,60.93
58,23,77,13.92
59,23,77,3.44
20,24,127,200.94
21,24,5,572.4
22,24,10,272.96
48,24,181,1814.91
49,24,128,2482.53
50,24,33,608.83
51,24,8,898.53
52,24,257,347.43
53,24,285,243.17
54,24,52,36.18
55,24,53,69.39
57,24,53,67.1
58,24,77,21.23
59,24,77,5.27
20,25,7,289.5
21,25,126,53.83
22,25,257,271.4
48,25,8,976.32
49,25,208,2457.0
50,25,208,2664.83
51,25,257,402.44
52,25,283,131.68
53,25,285,234.92
54,25,53,54.19
55,25,77,22.92
57,25,77,8.97
58,25,77,5.96
59,25,77,7.33
20,26,126,571.61
21,26,128,264.73
22,26,256,136.51
31,26,35,254.7
32,26,105,212.52
33,26,35,247.47
48,26,129,1658.68
49,26,208,1575.58
50,26,128,1545.97
51,26,105,1935.16
52,26,101,1219.64
53,26,283,126.55
54,26,77,5.36
55,26,52,32.73
57,26,77,5.84
58,26,77,7.22
59,26,77,6.76
20,27,260,383.95
21,27,1,150.11
22,27,7,330.81
26,27,3,85.78
27,27,5,85.78
28,27,5,150.11
29,27,10,834.73
30,27,10,1014.97
31,27,233,668.32
32,27,126,685.78
33,27,7,960.76
34,27,7,858.06
35,27,8,858.06
36,27,10,181.08
37,27,255,513.1
43,27,283,84.91
44,27,259,3569.81
45,27,126,4477.47
46,27,26,1115.84
47,27,1,150.11
48,27,3,48.25
49,27,8,534.58
50,27,7,1310.67
51,27,8,407.44
52,27,35,657.68
53,27,285,237.5
54,27,77,14.36
55,27,77,6.42
57,27,77,7.33
58,27,77,11.92
59,27,77,5.84
7,28,128,1067.33
8,28,127,225.37
9,28,8,858.06
10,28,32,877.63
11,28,10,301.09
12,28,33,509.3
13,28,33,613.11
19,28,1,150.11
20,28,3,91.14
21,28,32,352.56
22,28,7,457.19
23,28,7,416.17
24,28,33,538.75
25,28,7,416.17
26,28,32,529.08
27,28,28,613.16
28,28,33,352.56
29,28,3,107.22
30,28,3,122.89
31,28,8,858.06
32,28,109,1048.06
33,28,8,678.76
34,28,10,398.4
35,28,35,256.22
36,28,35,88.62
37,28,255,425.65
43,28,260,184.39
44,28,129,2307.92
45,28,7,245.82
46,28,3,91.14
47,28,32,352.56
48,28,33,538.75
49,28,7,416.17
50,28,27,931.38
51,28,33,699.05
52,28,8,252.47
53,28,260,386.84
54,28,77,2.06
55,28,77,39.84
56,28,77,53.24
57,28,77,20.88
58,28,52,41.69
59,28,52,23.02
1,29,77,60.73
2,29,80,1095.27
3,29,1,150.11
4,29,8,160.83
5,29,130,533.58
6,29,7,144.75
7,29,260,1600.34
8,29,34,1167.58
9,29,85,1193.77
10,29,35,152.59
11,29,283,149.28
12,29,105,794.25
13,29,3,58.97
14,29,3,48.25
15,29,2,94.15
16,29,8,160.83
17,29,1,64.33
18,29,3,69.69
19,29,8,160.83
20,29,33,518.36
21,29,32,689.9
22,29,283,447.72
23,29,259,357.26
24,29,110,187.57
25,29,259,481.19
26,29,283,98.24
27,29,259,246.69
28,29,28,802.73
29,29,32,518.36
30,29,7,160.83
31,29,3,48.25
32,29,5,85.78
33,29,8,209.08
34,29,259,437.18
35,29,10,821.05
42,29,7,209.08
43,29,1,85.78
44,29,8,193.0
45,29,8,160.83
46,29,33,518.36
47,29,32,689.9
48,29,110,171.29
49,29,259,537.77
50,29,110,232.04
51,29,259,485.27
52,29,259,477.16
53,29,35,276.45
54,29,135,44.38
55,29,77,47.11
56,29,52,48.19
57,29,52,55.7
58,29,77,18.24
59,29,77,0.46
1,30,77,204.12
2,30,7,112.58
3,30,32,352.56
4,30,27,931.38
5,30,7,729.97
6,30,32,875.84
7,30,283,81.22
8,30,53,119.31
9,30,35,184.41
10,30,77,36.63
11,30,77,54.42
12,30,77,57.55
13,30,135,676.46
14,30,33,492.52
15,30,7,416.17
16,30,27,918.34
17,30,27,688.96
18,30,7,402.58
19,30,8,811.75
20,30,10,697.84
21,30,10,503.67
22,30,53,68.93
23,30,283,81.22
24,30,53,119.31
25,30,77,44.5
26,30,77,36.63
27,30,77,54.42
28,30,77,5.1
29,30,135,310.67
30,30,7,811.75
31,30,8,402.58
32,30,8,252.47
33,30,257,770.88
34,30,105,465.1
35,30,8,934.67
42,30,106,847.05
43,30,7,252.47
44,30,7,402.58
45,30,8,811.75
46,30,10,711.44
47,30,10,644.24
48,30,77,40.54
49,30,135,100.01
50,30,77,15.6
51,30,77,42.91
52,30,77,56.14
53,30,283,81.22
54,30,53,119.31
55,30,77,31.44
56,30,52,64.61
57,30,52,47.5
58,30,77,8.81
59,30,77,6.19
1,31,135,257.8
2,31,108,724.19
3,31,32,685.13
4,31,35,201.17
5,31,259,432.08
6,31,77,62.98
7,31,77,47.08
8,31,52,74.28
9,31,77,0.0
10,31,77,6.84
11,31,77,25.29
12,31,53,101.62
13,31,77,173.67
14,31,135,140.04
15,31,259,461.5
16,31,257,146.49
17,31,259,158.95
18,31,259,461.61
19,31,35,352.7
20,31,35,104.13
21,31,283,109.17
22,31,77,29.09
23,31,77,47.08
24,31,52,74.28
25,31,77,0.0
26,31,77,6.84
27,31,77,25.29
28,31,53,101.62
29,31,77,12.93
30,31,35,487.0
31,31,35,407.31
32,31,259,503.76
33,31,35,242.74
34,31,258,789.47
35,31,259,748.33
42,31,259,402.18
43,31,35,357.89
44,31,110,531.18
45,31,35,394.68
46,31,35,271.5
47,31,53,187.74
48,31,257,146.49
49,31,35,130.7
50,31,135,109.6
51,31,283,101.68
52,31,77,24.53
53,31,77,47.08
54,31,52,74.28
55,31,77,0.0
56,31,77,7.88
57,31,77,9.38
58,31,77,7.22
59,31,77,7.41
1,32,77,16.84
2,32,10,560.02
3,32,10,263.23
4,32,283,85.98
5,32,52,62.31
6,32,77,0.0
7,32,52,56.99
8,32,35,113.88
9,32,77,47.84
10,32,77,1.52
11,32,77,16.73
12,32,135,153.32
13,32,283,133.05
14,32,283,116.91
15,32,283,119.74
16,32,110,110.07
17,32,110,102.61
18,32,77,3.8
19,32,52,66.03
20,32,283,92.73
21,32,52,65.14
22,32,77,0.0
23,32,52,56.99
24,32,35,113.88
25,32,77,47.84
26,32,77,1.52
27,32,77,16.73
31,32,77,40.43
32,32,135,61.91
33,32,259,469.5
34,32,1,916.14
35,32,10,414.36
42,32,257,408.2
43,32,283,148.77
44,32,52,144.23
45,32,283,133.05
46,32,283,116.91
47,32,283,111.99
48,32,110,110.07
49,32,110,102.61
50,32,77,3.04
51,32,52,30.92
52,32,77,0.0
53,32,77,7.7
54,32,53,108.12
55,32,77,47.84
56,32,77,1.52
57,32,77,2.36
58,32,77,18.41
59,32,52,103.48
1,33,52,32.1
2,33,77,32.21
3,33,77,19.14
4,33,77,50.39
5,33,77,3.04
6,33,77,11.7
7,33,283,108.69
8,33,77,87.61
9,33,77,54.43
10,33,135,140.57
11,33,135,66.46
12,33,35,114.05
13,33,283,115.96
14,33,35,99.94
15,33,77,26.61
16,33,77,61.72
17,33,135,113.11
18,33,35,155.81
19,33,77,73.16
20,33,135,103.14
21,33,77,29.59
22,33,77,19.51
23,33,283,108.69
24,33,77,87.61
25,33,77,13.89
26,33,77,0.0
27,33,77,3.9
42,33,233,383.59
43,33,285,208.87
44,33,35,117.22
45,33,283,115.96
46,33,35,99.94
47,33,77,26.61
48,33,77,61.72
49,33,135,113.11
50,33,35,155.81
51,33,77,73.16
52,33,52,108.87
53,33,77,33.39
54,33,77,42.42
55,33,77,15.41
56,33,77,1.52
